과목번호,과목명(국문),과목명(영문),인정교과구분,이수단계,학점/이론/실습,P/F,개설학기,주관학과
21002103,객체지향프로그래밍(캡스톤디자인),OBJECT-ORIENTED PROGRAMMING,전공필수,2학년,3/3.0/0.0, ,1학기,인공지능공학부
21102525,공학수학I,ENGINEERING MATHEMATICS Ⅰ,전공필수,1학년,3/3.0/0.0, ,2학기,인공지능공학부
21105362,공학수학Ⅱ,ENGINEERING MATHEMATICS Ⅱ,전공필수,2학년,3/3.0/0.0, ,1학기,인공지능공학부
21003066,데이터구조,DATA ORGANIZATION,전공필수,2학년,3/3.0/0.0, ,1학기,인공지능공학부
21105282,오픈소스프로그래밍,OPEN SOURCE PROGRAMMING,전공필수,2학년,3/3.0/0.0, ,1학기,인공지능공학부
21105365,웹프로그래밍,WEB PROGRAMMING,전공필수,2학년,3/3.0/0.0, ,2학기,인공지능공학부
21102526,컴퓨터아키텍쳐,DEVICE ARCHITECTURE,전공필수,2학년,3/3.0/0.0, ,1학기,인공지능공학부
21003683,프로그래밍방법론,PROGRAMMING METHODOLOGY,전공필수,1학년,3/3.0/0.0, ,2학기,인공지능공학부
21102524,프로그래밍입문,INTRODUCTION TO COMPUTER PROGRAMMING,전공필수,1학년,3/3.0/0.0, ,1학기,인공지능공학부
21102983,CAD및3D프린팅(캡스톤디자인),CAD FOR MECHANICAL ENGINEERING(CAPSTONE DESIGN),전공선택,1학년,3/2.0/2.0, ,1학기,기계시스템학부
21102531,HCI개론(캡스톤디자인),INTRODUCTION TO HCI,전공선택,4학년,3/3.0/0.0, ,2학기,IT공학전공
21102535,IOT응용(캡스톤디자인),IOT APPLICATION(CAPSTONE DESIGN),전공선택,4학년,3/3.0/0.0, ,1학기,IT공학전공
21102533,IT소프트웨어공학,IT SOFTWARE ENGINEERING,전공선택,3학년,3/3.0/0.0, ,2학기,IT공학전공
21102539,UI/UX설계,UI/UX DESIGN(CAPSTONE DESIGN),전공선택,3학년,3/2.0/2.0, ,1학기,IT공학전공
21002460,가상및증강현실응용(캡스톤디자인),VR and AR APPLICATION,전공선택,3학년,3/3.0/0.0, ,2학기,IT공학전공
21001083,경영정보시스템,MANEGEMENT INFORMATION SYSTEM,전공선택,2학년,3/3.0/0.0, ,모든학기,경영학부
21021043,고급IT프로그래밍,ADVANCED IT PROGRAMMING,전공선택,석사,3/3.0/0.0, ,모든학기,IT공학과
21102664,공정제어및설계,PROCESS CONTROL AND DESIGN,전공선택,4학년,3/3.0/0.0, ,1학기,화공생명공학부
21102626,공학기초물리Ⅰ,ENGINEERING PHYSICS I,전공선택,1학년,3/3.0/0.0, ,1학기,화공생명공학부
21102639,공학기초물리Ⅱ,ENGINEERING PHYSICS II,전공선택,1학년,3/3.0/0.0, ,2학기,화공생명공학부
21102627,공학기초화학Ⅰ,ENGINEERING CHEMISTRY I,전공선택,1학년,3/3.0/0.0, ,1학기,화공생명공학부
21102640,공학기초화학Ⅱ,ENGINEERING CHEMISTRY II,전공선택,1학년,3/3.0/0.0, ,2학기,화공생명공학부
21103018,그린에너지시스템및실습,ENERGY SYSTEMS DESIGN,전공선택,4학년,3/2.0/2.0, ,1학기,기계시스템학부
21104171,기계학습개론,INTRODUCTION TO MACHINE LEARNING,전공선택,2학년,3/3.0/0.0, ,1학기,지능형전자시스템전공
21102668,기기분석화학및실험(캡스톤디자인),INSTRUMENTAL ANALYSIS AND EXPERIMENTS,전공선택,4학년,3/3.0/0.0, ,1학기,화공생명공학부
21103533,기초회로실험,BASIC CIRCUIT LABORATORY(CAPSTONE DESIGN),전공선택,2학년,2/0.0/4.0, ,1학기,지능형전자시스템전공
21100722,네트워크(캡스톤디자인),NETWORK,전공선택,3학년,3/3.0/0.0, ,2학기,IT공학전공
21102977,네트워크프로토콜설계(캡스톤디자인),NETWORK PROTOCOL DESIGN,전공선택,4학년,3/3.0/0.0, ,1학기,지능형전자시스템전공
21102962,논리회로,DIGITAL LOGIC DESIGN,전공선택,2학년,3/3.0/0.0, ,1학기,지능형전자시스템전공
21102965,논리회로실험,PRACTICE IN DIGITAL LOGIC DESIGN,전공선택,2학년,2/0.0/4.0, ,2학기,지능형전자시스템전공
21102538,데이터베이스,DATABASES,전공선택,2학년,3/3.0/0.0, ,2학기,인공지능공학부
21102532,데이터분석및활용,DATA ANALYSIS AND APPLICATIONS,전공선택,4학년,3/3.0/0.0, ,2학기,IT공학전공
21105363,데이터패턴인식,DATA PATTERN RECOGNITION,전공선택,3학년,3/3.0/0.0, ,1학기,인공지능공학부
21103791,딥러닝,DEEP LEARNING,전공선택,2학년,3/2.0/2.0, ,1학기,기계시스템학부
21103011,메카트로닉스이론및실습(캡스톤디자인),MECHATRONICS SYSTEM DESIGN(CAPSTONE DESIGN),전공선택,4학년,3/2.0/2.0, ,1학기,기계시스템학부
21003076,모바일프로그래밍(캡스톤디자인),MOBILE PROGRAMMING,전공선택,2학년,3/2.0/2.0, ,2학기,인공지능공학부
21102997,바이오미케닉스,INTRODUCTION TO BIOMECHANICS,전공선택,3학년,3/3.0/0.0, ,2학기,기계시스템학부
21104553,반도체광전자공학,OPTOELECTRONICS,전공선택,3학년,3/3.0/0.0, ,2학기,지능형전자시스템전공
21102990,빅데이터와수치해석입문및실습,INTRODUCTION TO NUMERICAL ANALYSIS FOR BIG DATA ANALYSIS,전공선택,2학년,3/2.0/2.0, ,2학기,기계시스템학부
21102976,생체전자공학,BIO-ELECTRONIC ENGINEERING,전공선택,3학년,3/3.0/0.0, ,2학기,지능형전자시스템전공
21102530,서버운영및보안,SERVER ADMINISTRATION AND SECURITY,전공선택,2학년,3/3.0/0.0, ,2학기,IT공학전공
21000513,선형대수학,LINEAR ALGEBRA,전공선택,2학년,3/3.0/0.0, ,1학기,수학과
21102529,센서프로그래밍,SENSOR PROGRAMMING,전공선택,3학년,3/2.0/2.0, ,2학기,IT공학전공
21102537,스마트서비스(캡스톤디자인),SMART SERVICE,전공선택,4학년,3/3.0/0.0, ,1학기,IT공학전공
21100720,알고리즘입문,ALGORITHMS,전공선택,2학년,3/3.0/0.0, ,2학기,인공지능공학부
21102899,양자화학공학,QUANTUM CHEMICAL ENGINEERING,전공선택,3학년,3/3.0/0.0, ,1학기,화공생명공학부
21002100,영상처리및응용,IMAGE PROCESSING AND ITS APPLICATIONS,전공선택,3학년,3/2.0/2.0, ,1학기,IT공학전공
21003994,운영체제원리,OPERATING SYSTEMS PRINCIPLES,전공선택,3학년,3/3.0/0.0, ,2학기,IT공학전공
21102659,유전체공학,GENOME ENGINEERING,전공선택,2학년,3/3.0/0.0, ,2학기,화공생명공학부
21102993,융합캡스톤디자인(캡스톤디자인),MULTIDISCIPLINARY CAPSTONE DESIGN,전공선택,3학년,3/0.0/6.0, ,2학기,기계시스템학부
21102631,이차전지공학,RECHARGEABLE BATTERY ENGINEERING,전공선택,4학년,3/3.0/0.0, ,1학기,화공생명공학부
21102523,인공지능IT기술이해,INTRODUCTION TO IT FOR ARTIFICIAL INTELLIGENCE,전공선택,1학년,3/3.0/0.0, ,1학기,인공지능공학부
