과목명,과목번호,분반,교과구분,강의시간,담당교수,학점,정원
CAD및3D프린팅(캡스톤디자인),21102983,1,전공선택,월수 10:00-11:50(창학 B113B),윤창규,3/2.0/2.0,32
CAD및3D프린팅(캡스톤디자인),21102983,2,전공선택,월수 15:00-16:50(창학 B113B),윤창규,3/2.0/2.0,32
IOT응용(캡스톤디자인),21102535,1,전공선택,월수 12:00-13:15(명신관 518),윤용익,3/3.0/0.0,40
UI/UX설계,21102539,1,전공선택,월수 10:00-11:50(명신관 602),임순범,3/2.0/2.0,40
객체지향프로그래밍(캡스톤디자인),21002103,1,전공필수,월수 10:30-11:45(명신관 701),윤용익,3/3.0/0.0,100
객체지향프로그래밍(캡스톤디자인),21002103,2,전공필수,수 15:00-17:50(명신관 317),김스베틀라나,3/3.0/0.0,100
경영정보시스템,21001083,1,전공선택,화목 12:00-13:15(명신관 322),서보밀,3/3.0/0.0,50
경영정보시스템,21001083,2,전공선택,화목 13:30-14:45(명신관 322),서보밀,3/3.0/0.0,50
경영정보시스템,21001083,3,전공선택,화목 15:00-16:15(명신관 322),서보밀,3/3.0/0.0,50
경영정보시스템,21001083,4,전공선택,월수 12:00-13:15(명신관 505),한은정,3/3.0/0.0,50
경영정보시스템,21001083,5,전공선택,월수 13:30-14:45(명신관 505),한은정,3/3.0/0.0,51
공정제어및설계,21102664,1,전공선택,월수 15:00-16:15(과학관 107),박경태,3/3.0/0.0,50
공학기초물리Ⅰ,21102626,1,전공선택,월수 12:00-13:15(프라임관 201),권우성,3/3.0/0.0,83
공학기초물리Ⅰ,21102626,2,전공선택,월수 13:30-14:45(프라임관 201),권우성,3/3.0/0.0,83
공학기초화학Ⅰ,21102627,1,전공선택,화목 09:00-10:15(과학관 651),최경민,3/3.0/0.0,150
기계학습개론,21104171,1,전공선택,월수 10:30-11:45(르네상스 405),차은주,3/3.0/0.0,50
기초회로실험,21103533,1,전공선택,화목 15:00-18:50(르네상스 B210),최웅,2/0.0/4.0,32
기초회로실험,21103533,2,전공선택,목 15:00-18:50(르네상스 B210),최웅,2/0.0/4.0,32
논리회로,21102962,1,전공선택,화목 13:30-14:45(르네상스 405),최웅,3/3.0/0.0,80
데이터구조,21003066,1,전공필수,월수 12:00-13:15(명신관 701),박영호,3/3.0/0.0,150
데이터구조,21003066,2,전공필수,월수 15:00-16:15(명신관 701),박영호,3/3.0/0.0,110
데이터패턴인식,21105363,1,전공선택,월수 13:30-14:45(명신관 702),박영호,3/3.0/0.0,110
딥러닝,21103791,1,전공선택,월수 16:00-17:50(르네상스 403),심주웅,3/2.0/2.0,50
메카트로닉스이론및실습(캡스톤디자인),21103011,1,전공선택,월수 13:00-14:50(르네상스 404),심주웅,3/2.0/2.0,30
선형대수학,21000513,1,전공선택,월수 10:30-11:45(사회417),최진원,3/3.0/0.0,60
선형대수학,21000513,2,전공선택,화목 15:00-16:15(창학B111),신진우,3/3.0/0.0,61
선형대수학,21000513,3,전공선택,화목 12:00-13:15(창학B116),이정희,3/3.0/0.0,60
